cleanprice	dirtyprice	netwage	timeendowment	virtualinc	leisuregood	netwageinst	cleangood	dirtygood	obs
1.606	1.049	6.541654	70	-61.52771	30	7.580621	114.8312	14.98525	142
1.606	1.049	8.689823	70	-162.6698	30	7.366963	87.3168	42.60468	143
1.609667	1.061333	12.88137	70	-307.107	30	8.521103	126.8105	3.792465	144
1.609667	1.061333	6.001269	70	415.0595	26	8.393257	396.905	37.90588	145
1.609667	1.061333	7.995678	70	58.84595	30	8.070373	209.5871	38.92057	146
1.609667	1.061333	14.90214	70	87.68826	70		50.62917	5.834348	147
1.606	1.049	16.35173	70	-122.2592	50	8.252256	92.96059	52.88912	148
1.606	1.049	11.98991	70	345.6154	70		206.1021	13.93268	149
1.606	1.049	5.844717	70	-47.74646	14	8.095564	160.2285	21.19234	150
1.606	1.049	16.73056	70	80.92926	40	10.77637	326.037	56.46403	151
1.606	1.049	11.90761	70	227.8517	30	10.80738	423.0431	23.5927	152
1.606	1.049	3.907424	70	215.8126	23	5.870903	199.3007	75.67647	153
1.606	1.049	14.55551	70	110.5385	70		65.18823	5.573073	154
1.606	1.049	10.96818	70	160.5945	33	11.8183	343.0694	14.72599	155
1.606	1.049	10.94054	70	175.8077	70		100.0575	14.40933	156
1.609667	1.061333	7.159269	70	-13.59364	35	7.611274	125.1454	33.48473	157
1.606	1.049	7.45319	70	-59.47081	36	7.366963	95.01811	39.40758	158
1.609667	1.061333	9.447538	70	-59.70923	30	10.77637	183.3394	21.74333	159
1.609667	1.061333	9.287323	70	6.622467	30	9.053398	224.7718	15.36529	160
1.606	1.049	12.37778	70	139.4231	70		61.61988	38.57153	161
1.609667	1.061333	10.91459	70	517.2819	30	7.583634	586.3732	9.422111	162
1.606	1.049	10.76701	70	167.935	30	9.492586	358.9903	21.04568	163
1.609667	1.061333	9.585441	70	-136.2061	30	7.591007	131.7879	33.04987	164
1.609667	1.061333	7.820412	70	10.57137	55	7.899551	62.41265	25.82976	165
1.606	1.049	4.109678	70	219.9994	50	6.984166	173.9402	21.77787	166
1.606	1.049	7.548905	70	276.8707	30	10.21492	353.4222	10.70617	167
1.606	1.049	11.26107	70	162.3077	70		97.83025	4.949769	168
1.606	1.049	7.117891	70	43.9382	30	8.354532	196.4029	12.61274	169
