cleanprice	dirtyprice	netwage	leisuregood	cleangood	dirtygood	obs
1.609667	1.061333	5.970511	30	259.7767	44.93622	115
1.609667	1.061333	16.4741	70	118.3714	11.37901	116
1.606	1.049	8.834986	15	1394.386	49.13104	117
1.609667	1.061333	10.27158	50	325.9633	26.092	118
1.606	1.049	8.407936	30	304.8783	44.80457	119
1.606	1.049	9.664252	54	39.97317	10.54192	120
1.609667	1.061333	7.249242	20	86.44114	17.41801	121
1.609667	1.061333	6.690862	25	116.7406	9.422111	122
1.609667	1.061333	10.45168	30	204.0078	32.39757	123
1.606	1.049	10.53181	70	167.6861	38.20488	124
1.609667	1.061333	8.066687	30	148.4421	17.24971	125
1.606	1.049	7.343726	40	60.93735	7.992959	126
1.606	1.049	3.119856	30	120.0439	13.54785	127
1.606	1.049	6.658088	30	135.3099	10.99949	128
1.606	1.049	7.613461	30	69.53206	29.34828	129
1.609667	1.061333	4.097206	30	168.334	7.610167	130
1.606	1.049	14.73256	32	657.1271	97.52878	131
1.609667	1.061333	10.91943	30	220.7218	54.35833	132
1.609667	1.061333	4.1582	50	260.0395	46.74817	133
1.606	1.049	6.506433	5	286.7612	38.20488	134
1.609667	1.061333	15.4477	70	111.1926	17.07279	135
1.609667	1.061333	14.0859	70	17.30488	11.18461	136
1.606	1.049	7.205424	30	82.80247	8.799589	137
1.606	1.049	10.38342	20	199.4444	22.58561	138
1.606	1.049	9.066518	70	399.5114	14.226	139
1.609667	1.061333	14.40124	70	110.638	12.55352	140
1.609667	1.061333	8.398619	30	130.2587	34.71685	141
1.606	1.049	10.1253	15	270.3444	12.46608	142
1.606	1.049	13.09923	70	233.8107	15.39928	143
1.609667	1.061333	7.242421	70	456.9508	8.914766	144
1.609667	1.061333	14.3781	30	580.4474	74.28972	145
1.606	1.049	9.329248	27	324.2887	34.39173	146
1.606	1.049	6.600683	30	114.8312	14.98525	147
1.606	1.049	8.935085	30	87.3168	42.60468	148
1.609667	1.061333	12.74194	30	126.8105	3.792465	149
1.609667	1.061333	5.907278	26	396.905	37.90588	150
1.609667	1.061333	7.836735	30	209.5871	38.92057	151
1.609667	1.061333	14.82635	70	50.62917	5.834348	152
1.606	1.049	16.29476	50	92.96059	52.88912	153
1.606	1.049	11.8214	70	206.1021	13.93268	154
1.606	1.049	5.642545	14	160.2285	21.19234	155
1.606	1.049	16.84039	40	326.037	56.46403	156
1.606	1.049	11.78667	30	423.0431	23.5927	157
1.606	1.049	3.566796	23	199.3007	75.67647	158
1.606	1.049	14.52488	70	65.18823	5.573073	159
1.606	1.049	10.9708	33	343.0694	14.72599	160
1.606	1.049	10.48861	70	100.0575	14.40933	161
1.609667	1.061333	7.143302	35	125.1454	33.48473	162
1.606	1.049	7.412845	36	95.01811	39.40758	163
1.609667	1.061333	9.387557	30	183.3394	21.74333	164
1.609667	1.061333	9.14618	30	224.7718	15.36529	165
1.606	1.049	12.32923	70	61.61988	38.57153	166
1.609667	1.061333	11.10967	30	586.3732	9.422111	167
1.609667	1.061333	17.07237	70	896.4164	24.93966	168
1.606	1.049	10.81801	30	358.9903	21.04568	169
1.609667	1.061333	9.603327	30	131.7879	33.04987	170
1.609667	1.061333	7.744755	55	62.41265	25.82976	171
1.606	1.049	4.108422	50	173.9402	21.77787	172
1.606	1.049	7.462219	30	353.4222	10.70617	173
1.606	1.049	11.18567	70	97.83025	4.949769	174
1.609667	1.061333	3.719636	30	105.8748	4.856011	175
1.606	1.049	7.221146	30	196.4029	12.61274	176
1.606	1.049	14.1467	70	102.7876	19.35909	177
1.609667	1.061333	6.54146	45	51.52166	21.34471	178
1.609667	1.061333	11.55781	30	446.4135	46.53074	179
1.609667	1.061333	11.78661	70	128.914	16.91234	180
1.606	1.049	6.405422	35	228.9491	49.86434	181
1.606	1.049	8.760198	40	236.1696	3.886485	182
1.606	1.049	6.934537	15	266.2731	30.43191	183
1.609667	1.061333	6.794382	30	171.7747	11.30653	184
1.606	1.049	7.371031	30	109.8928	32.00681	185
1.606	1.049	6.15756	40	767.3986	68.85678	186
1.609667	1.061333	8.199841	30	204.211	86.17608	187
1.606	1.049	10.39429	30	77.81702	12.70111	188
1.609667	1.061333	5.619628	22	204.4884	33.82469	189
1.609667	1.061333	14.1063	70	66.15842	18.44983	190
1.606	1.049	8.489471	40	170.3231	40.80758	191
1.606	1.049	8.916079	30	239.7859	43.55796	192
1.606	1.049	11.84068	30	214.8434	20.45905	193
1.609667	1.061333	17.93721	70	339.6308	15.22033	194
1.609667	1.061333	13.74032	30	290.397	16.16254	195
1.606	1.049	7.522904	15	274.3079	43.99795	196
1.609667	1.061333	12.66384	52	184.8926	48.41516	197
1.606	1.049	5.93643	30	88.34005	16.55506	198
1.609667	1.061333	10.85747	30	156.6568	23.31853	199
1.609667	1.061333	5.358559	30	358.3757	19.569	200
1.606	1.049	8.118093	20	186.2008	14.15267	201
1.609667	1.061333	9.86882	70	95.39303	24.80477	202
1.606	1.049	6.884312	45	79.30597	8.13962	203
1.609667	1.061333	8.123648	30	158.5766	10.87972	204
1.606	1.049	14.53781	70	189.2422	17.59918	205
1.609667	1.061333	12.34046	20	129.064	5.435833	206
1.606	1.049	5.219662	25	121.1083	7.8463	207
1.606	1.049	5.920732	30	93.64866	7.747679	208
1.609667	1.061333	16.53946	70	83.34898	8.816348	209
1.606	1.049	9.356864	30	115.8516	39.59815	210
1.609667	1.061333	7.496648	40	248.2119	24.64244	211
1.609667	1.061333	9.442191	30	124.3807	7.610167	212
1.606	1.049	10.15818	20	232.4816	18.25915	213
1.606	1.049	6.898614	35	157.4265	47.66444	214
1.609667	1.061333	5.85508	30	94.57286	31.52783	215
1.609667	1.061333	11.00213	70	91.43504	8.829309	216
1.609667	1.061333	10.33121	25	395.4355	33.9196	217
1.606	1.049	13.85121	30	324.0612	13.19938	218
1.609667	1.061333	10.93301	70	159.2303	20.65617	219
1.606	1.049	11.5348	27	154.1695	19.65242	220
1.606	1.049	6.841468	25	248.0841	19.50576	221
1.606	1.049	9.58599	30	248.5511	10.99949	222
1.609667	1.061333	4.536054	47	95.56446	27.17916	223
1.606	1.049	8.509258	20	372.1303	48.89651	224
1.609667	1.061333	9.402736	30	95.23562	10.41942	225
1.606	1.049	10.90372	32	354.2964	40.33145	226
1.609667	1.061333	10.73666	30	90.12856	10.87167	227
1.609667	1.061333	7.321979	20	496.5672	11.81388	228
1.609667	1.061333	5.113753	32	122.8117	30.44067	229
1.606	1.049	4.694974	22	67.82259	15.72927	230
1.606	1.049	6.571602	10	306.0518	10.26619	231
1.609667	1.061333	7.605472	25	243.9229	19.93139	232
1.609667	1.061333	8.442826	70	87.21826	28.99111	233
1.609667	1.061333	13.40625	70	146.2845	9.422111	234
1.606	1.049	9.748175	30	356.7751	21.26567	235
1.609667	1.061333	8.638982	30	192.1564	17.39467	236
1.606	1.049	13.73051	70	44.57096	1.296302	237
1.606	1.049	8.851891	70	100.9675	20.0924	238
1.609667	1.061333	13.36648	30	118.1205	44.66443	239
1.606	1.049	7.582509	30	281.4326	23.17225	240
1.609667	1.061333	7.888004	30	174.8451	16.45246	241
1.606	1.049	11.28749	30	146.8951	26.39877	242
1.609667	1.061333	8.430119	25	115.9103	21.67085	243
1.609667	1.061333	9.16837	30	133.7114	59.93912	244
1.609667	1.061333	8.437184	30	1187.836	28.62872	245
1.609667	1.061333	7.572733	10	362.8797	41.31233	246
1.609667	1.061333	7.639083	40	104.863	12.55613	247
1.606	1.049	10.80804	70	62.35769	7.663823	248
1.609667	1.061333	6.913238	30	247.3359	21.98605	249
1.609667	1.061333	7.525119	30	229.0847	17.32219	250
1.609667	1.061333	8.953323	45	38.80938	3.843714	251
1.609667	1.061333	9.358705	30	284.8177	31.45536	252
1.606	1.049	5.50296	40	56.5308	12.31942	253
1.609667	1.061333	14.46054	70	214.0434	33.9196	254
1.606	1.049	6.277281	30	171.0953	14.98525	255
1.609667	1.061333	15.50128	70	381.3109	26.38422	256
1.606	1.049	5.57796	25	125.8741	15.39928	257
1.609667	1.061333	3.737779	33	95.07464	7.320255	258
1.606	1.049	11.10125	20	621.5514	35.34502	259
1.606	1.049	6.432848	30	195.0678	36.84828	260
1.609667	1.061333	9.701449	30	163.9223	35.98676	261
1.609667	1.061333	5.509252	30	163.8876	2.884761	262
1.606	1.049	9.250968	70	89.37637	21.85231	263
1.606	1.049	8.118965	30	204.3626	24.889	264
1.606	1.049	15.17359	70	96.34863	7.673827	265
1.609667	1.061333	5.243431	25	131.3999	24.35383	266
1.606	1.049	7.609291	30	112.142	24.08978	267
1.609667	1.061333	7.746825	39	216.1634	34.74718	268
1.609667	1.061333	8.900979	30	188.3108	13.83737	269
1.606	1.049	7.013128	10	163.9165	34.90504	270
1.606	1.049	15.18272	70	115.7678	8.13962	271
1.609667	1.061333	5.440643	25	307.541	45.87843	272
1.606	1.049	6.890844	30	131.4142	44.36459	273
1.609667	1.061333	4.761984	25	656.3232	12.32122	274
1.609667	1.061333	5.448846	20	242.8716	10.87167	275
1.609667	1.061333	11.77879	70	160.509	15.01611	276
1.609667	1.061333	10.7659	30	140.4256	25.4397	277
1.609667	1.061333	8.436995	30	166.5299	31.16544	278
1.609667	1.061333	6.103955	64	112.3023	4.783533	279
1.609667	1.061333	13.59602	30	220.5426	19.42404	280
1.609667	1.061333	8.112446	38	162.207	15.8361	281
1.606	1.049	11.36501	25	186.2127	18.69913	282
1.609667	1.061333	8.027659	32	209.8619	26.23695	283
1.606	1.049	8.914541	30	217.1544	20.67904	284
1.606	1.049	7.304946	20	290.1499	16.49923	285
1.609667	1.061333	5.794423	30	233.9472	27.54156	286
1.609667	1.061333	6.613894	30	310.3366	21.74333	287
1.606	1.049	8.706703	46	116.0312	15.39928	288
1.606	1.049	11.07677	25	257.7474	9.092909	289
1.609667	1.061333	8.498768	30	278.2043	20.75606	290
1.609667	1.061333	13.86026	70	81.88116	3.669027	291
1.606	1.049	13.30915	30	289.4674	8.43294	292
1.609667	1.061333	7.678428	10	1342.884	19.20661	293
1.609667	1.061333	4.991308	50	279.4176	28.99111	294
1.609667	1.061333	12.5424	20	587.9622	13.77078	295
1.606	1.049	4.866193	25	227.4614	30.59273	296
1.606	1.049	11.77974	70	75.86933	8.799589	297
1.609667	1.061333	9.163916	25	115.2413	20.14882	298
1.606	1.049	10.41941	55	410.2045	17.08587	299
1.606	1.049	8.172809	30	204.8448	12.90606	300
1.609667	1.061333	8.19759	10	319.1416	18.33688	301
1.609667	1.061333	11.89347	70	129.7928	17.75706	302
1.609667	1.061333	7.105351	30	81.16445	11.29817	303
1.606	1.049	15.26495	70	63.43998	4.839774	304
1.606	1.049	5.57796	30	89.72363	17.59918	305
1.606	1.049	7.845163	50	115.7917	23.46557	306
1.609667	1.061333	8.732211	14	372.8077	48.85002	307
1.609667	1.061333	19.76294	70	85.03403	7.113661	308
1.609667	1.061333	7.885057	30	344.4932	39.138	309
1.609667	1.061333	12.65555	35	61.88128	6.320544	310
1.606	1.049	8.902007	40	192.1281	16.93921	311
1.606	1.049	10.10784	30	407.9653	20.60571	312
1.606	1.049	7.409389	28	173.4745	45.94094	313
1.609667	1.061333	10.62057	20	264.7944	17.90201	314
1.606	1.049	7.804749	30	303.4174	18.69913	315
1.609667	1.061333	12.30196	70	71.4043	20.04379	316
1.609667	1.061333	4.342439	45	180.2452	1.087167	317
1.609667	1.061333	11.43911	31	159.0392	63.65361	318
1.606	1.049	12.05636	30	503.1492	63.5037	319
1.606	1.049	9.911434	30	183.5025	34.39173	320
1.606	1.049	17.83651	70	48.6884	10.16618	321
1.609667	1.061333	4.952423	50	107.0217	19.569	322
1.606	1.049	6.965711	70	69.4032	28.23202	323
1.609667	1.061333	3.913067	30	263.086	43.99401	324
1.606	1.049	7.289021	30	138.6893	36.19817	325
1.606	1.049	4.823261	30	111.6857	13.33617	326
1.606	1.049	7.114135	30	199.9593	23.5389	327
1.606	1.049	5.849198	28	172.9452	33.73176	328
1.606	1.049	4.365907	50	50.67535	6.966341	329
1.606	1.049	9.846102	63	132.2804	19.43243	330
1.609667	1.061333	10.68303	64	57.42947	10.87167	331
1.606	1.049	8.457657	33	266.1534	27.79204	332
1.606	1.049	7.196753	30	181.6745	25.29882	333
1.606	1.049	10.71961	30	46.02931	25.29882	334
1.606	1.049	11.26166	70	68.30156	29.25863	335
1.606	1.049	9.413524	30	142.5695	20.06676	336
1.606	1.049	10.69342	40	257.927	28.96531	337
1.606	1.049	8.178244	20	343.6033	8.06629	338
1.606	1.049	11.23864	70	128.2211	64.89697	339
1.609667	1.061333	6.728386	30	246.2048	22.8305	340
1.609667	1.061333	18.66495	70	104.982	5.314323	341
1.609667	1.061333	20.45449	70	49.13874	7.783182	342
1.606	1.049	13.65028	70	62.63523	12.82812	343
1.606	1.049	9.779671	30	287.0272	14.25932	344
